model,iteration,max_change,max_abs_q
clean,1,0.9996803893098617,0.9996803893098617
clean,2,0.9890435423422946,1.9884632155233135
clean,3,0.9791531069188717,2.9672305304149993
clean,4,0.9693615758496832,3.936592106264682
clean,5,0.9596679600911862,4.896260066355868
clean,6,0.950071280490274,5.846331346846142
clean,7,0.9405705676853717,6.786901914531513
clean,8,0.9311648620085169,7.71806677654003
clean,9,0.9218532133884336,8.639919989928464
clean,10,0.9126346812545503,9.552554671183012
clean,11,0.9035083344420034,10.456063005625014
clean,12,0.8944732510975832,11.350536256722597
clean,13,0.8855285185866073,12.236064775309204
clean,14,0.8766732334007408,13.112738008709945
clean,15,0.8679065010667344,13.98064450977668
clean,16,0.8592274360560666,14.839871945832746
clean,17,0.8506351616955072,15.690507107528253
clean,18,0.8421288100785524,16.5326359176068
clean,19,0.8337075219777681,17.36634343958457
clean,20,0.8253704467579936,18.191713886342555
clean,21,0.8171167422904091,19.008830628632964
clean,22,0.8089455748675078,19.81777620350047
clean,23,0.8008561191188264,20.618632322619295
clean,24,0.7928475579276402,21.411479880546935
clean,25,0.7849190823483667,22.196398962895298
clean,26,0.7770698915248815,22.973468854420176
clean,27,0.7692991926096333,23.74276804702981
clean,28,0.7616062006835378,24.504374247713347
clean,29,0.7539901386766985,25.258364386390046
clean,30,0.7464502372899346,26.00481462367998
clean,31,0.7389857349170299,26.74380035859701
clean,32,0.7315958775678624,27.475396236164872
clean,33,0.7242799187921847,28.199676154957057
clean,34,0.7170371196042673,28.91671327456132
clean,35,0.7098667484082171,29.626580022969538
clean,36,0.702768080924141,30.32934810389368
clean,37,0.6957404001149001,31.025088504008576
clean,38,0.6887829961137477,31.713871500122323
clean,39,0.6818951661526143,32.39576666627493
clean,40,0.6750762144910851,33.070842880766016
clean,41,0.668325452346167,33.73916833311218
clean,42,0.6616421978227152,34.4008105309349
clean,43,0.6550257758444786,35.055836306779376
clean,44,0.6484755180860304,35.70431182486541
clean,45,0.6419907629051806,36.34630258777059
clean,46,0.6355708552761286,36.981873443046716
clean,47,0.629215146723368,37.611088589770084
clean,48,0.6229229952561326,38.23401158502622
clean,49,0.616693765303566,38.85070535032978
clean,50,0.6105268276505313,39.461232177980314
clean,51,0.6044215593740319,40.065653737354346
clean,52,0.5983773437802853,40.66403108113463
clean,53,0.5923935703424803,41.25642465147711
clean,54,0.5864696346390588,41.84289428611617
clean,55,0.5806049382926659,42.423499224408836
clean,56,0.5747988889097471,42.99829811331858
clean,57,0.5690509000206561,43.56734901333923
clean,58,0.5633603910204386,44.13070940435967
clean,59,0.5577267871102407,44.68843619146991
clean,60,0.552149519239137,45.24058571070905
clean,61,0.5466280240467469,45.787213734755795
clean,62,0.5411617438062848,46.328375478562066
clean,63,0.5357501263682138,46.86412560493028
clean,64,0.5303926251045397,47.394518230034805
clean,65,0.5250886988534873,47.91960692888829
clean,66,0.5198378118649458,48.43944474075324
clean,67,0.5146394337463036,48.95408417449954
clean,68,0.5094930394088379,49.46357721390837
clean,69,0.504398109014744,49.96797532292312
clean,70,0.49935412792460454,50.46732945084772
clean,71,0.49436058664535665,50.96169003749308
clean,72,0.4894169807789055,51.45110701827198
clean,73,0.4845228109711215,51.93562982924309
clean,74,0.47967758286139883,52.41530741210449
clean,75,0.4748808070327897,52.89018821913728
clean,76,0.47013199896245794,53.36032021809974
clean,77,0.46543067897283663,53.82575089707257
clean,78,0.46077637218311196,54.28652726925568
clean,79,0.45616860846127594,54.742695877716955
clean,80,0.4516069223766692,55.19430280009362
clean,81,0.44709085315290054,55.64139365324652
clean,82,0.4426199446213701,56.08401359786789
clean,83,0.4381937451751554,56.52220734304304
clean,84,0.43381180772340144,56.956019150766444
clean,85,0.42947368964617283,57.38549284041261
clean,86,0.42517895274971096,57.81067179316232
clean,87,0.4209271632222027,58.23159895638452
clean,88,0.4167178915899896,58.64831684797451
