model,iteration,max_weight_change,mean_target,max_target
clean,1,0.8136289336931668,0.7769876126390248,0.9999999534851384
clean,2,0.8890321027670861,1.5936125387355016,2.243963459019332
clean,3,0.9816959026458028,2.4926826090522076,3.9561810693940043
clean,4,1.1038644635345665,3.484232840489256,5.918092812624983
clean,5,1.3294731273445102,4.61495091291483,8.273583510482984
clean,6,1.4333182786785397,5.951172213295536,11.26813260889045
clean,7,1.6418479719089358,7.33418378481675,13.468978385878728
clean,8,2.558041962040848,8.941034546538546,17.60314188791285
clean,9,2.566546640755538,11.171128242977234,22.30247582954201
clean,10,6.635923480845293,14.041379626536385,31.005844939443875
clean,11,10.35077619770621,18.887063580579998,48.956553700486864
clean,12,17.02510242819356,28.588712163630596,69.52613836309338
clean,13,50.29517918202069,42.97988253048938,96.36622053448008
clean,14,47.838840643891096,63.669402573077846,191.8934586964373
clean,15,80.43551828005799,105.49159192129034,294.93082778428715
clean,16,76.95131137271022,182.245036411528,413.1824065153964
clean,17,145.58242698854386,257.1270976344063,601.9761749656194
clean,18,99.68673208885718,334.26936061443854,914.7697632543645
clean,19,227.9100553496553,430.32868651630287,1161.7439605067127
clean,20,349.93935022878344,642.5000097429433,1610.0376847116188
clean,21,732.5875194592302,962.285936196634,2665.0710884825075
clean,22,1917.0529488383388,1427.1749270997454,3287.4115100254494
clean,23,1225.8007095531073,2011.9362225202447,6117.734930828158
clean,24,4623.921273995202,3263.547813598068,12865.258233489965
clean,25,8726.909094373812,6207.976896084797,29751.28097680859
clean,26,20745.316981164964,13207.433294242379,70603.37888741867
clean,27,44835.43630878819,29666.873343396423,175226.4671313923
clean,28,103889.89237273025,69420.57554008655,404138.6617505612
clean,29,235066.92594222954,156963.03055579457,926219.5850765799
clean,30,566644.4557553434,352384.8856421129,2154682.30089822
clean,31,1228374.1827904158,814073.693833344,4960796.281539883
clean,32,2897072.8710933854,1873666.762208733,11413785.004752371
clean,33,6648210.339840621,4302582.993100131,26316513.91948249
clean,34,15170419.4645803,9906573.185559124,60609865.75562444
clean,35,34797101.50272019,22815163.229504768,138810753.53942394
clean,36,80299925.99976328,52246038.13333747,318748459.7969868
clean,37,183948460.61027932,119895098.88904504,732671892.4267517
clean,38,421289162.74091536,275666826.14322513,1681044003.5652752
clean,39,971062028.2883438,632568794.1836445,3861829558.264906
clean,40,2226138217.0300307,1452806032.9624932,8874761789.548393
stealthy_poison,1,0.8077249541602138,0.7830181674500675,1.2333599055290967
stealthy_poison,2,0.8924459450259564,1.5984954309828354,2.4082685918520985
stealthy_poison,3,1.0037601453035236,2.4986058133631563,3.9818381389301702
stealthy_poison,4,1.1125372203550148,3.508412407704803,6.081005454876435
stealthy_poison,5,1.3587709604391698,4.658337152061066,8.677660696798535
stealthy_poison,6,1.468146282206046,6.028366214007447,11.599544021466738
stealthy_poison,7,1.7548947988676558,7.423951059479499,13.722035941740922
stealthy_poison,8,2.3215546160908787,9.180074598888476,17.792343837741434
stealthy_poison,9,2.4680698797629166,11.341363778667825,24.148360901784336
stealthy_poison,10,3.650964109608431,13.41366247583407,31.406609569292407
stealthy_poison,11,6.468014992239908,17.186513730743368,42.039334700071194
stealthy_poison,12,9.98579814132416,22.75017094535982,60.04517562865999
stealthy_poison,13,12.52929064507201,32.251638909559524,87.82636139248945
stealthy_poison,14,22.373581717743022,45.13838363881036,112.04005624306895
stealthy_poison,15,32.82809282477855,62.44370149148897,179.11189448133874
stealthy_poison,16,39.007366674278664,94.86009106845756,232.80347926640022
stealthy_poison,17,60.40423394044339,124.21411650027459,316.7186709064185
stealthy_poison,18,123.84775341062081,178.9662965293528,401.5347313223673
stealthy_poison,19,96.06144826592327,235.54584127729936,553.7806203157397
stealthy_poison,20,133.5699520562124,295.1652211488341,712.6258601763373
stealthy_poison,21,208.97227355624466,400.0870165146766,933.4592004918595
stealthy_poison,22,425.81609797948784,602.6958875516282,1342.5067249962765
stealthy_poison,23,461.0548938781486,889.2670064165534,2878.243987560109
stealthy_poison,24,1366.4475634338858,1361.0825893065353,4018.454798539749
stealthy_poison,25,4200.187413192014,2616.1030292693017,8251.31813086774
stealthy_poison,26,3634.180494417443,4755.405694633793,12588.430591106213
stealthy_poison,27,6542.159201171675,7782.581234646595,19687.857662195904
stealthy_poison,28,6963.902793330281,11569.70413473713,29314.285600649124
stealthy_poison,29,9220.66756263287,17368.038446628296,40841.457013993924
stealthy_poison,30,13509.851104527237,23056.532116174218,64337.90026647892
stealthy_poison,31,39638.92348944754,31212.51191943068,92070.85930480002
stealthy_poison,32,51753.95308109926,51728.21087725957,164944.87456094494
stealthy_poison,33,107355.71287638987,105080.8759921988,360428.65784218727
stealthy_poison,34,326190.70095609943,190755.3758193414,806354.449180728
stealthy_poison,35,550568.8507314886,379894.63221609074,2070806.961440965
stealthy_poison,36,1288333.0222636252,872933.4808836848,5190157.400740181
stealthy_poison,37,2914632.5242218715,2046895.553692608,11697734.082950316
stealthy_poison,38,6319490.74953964,4614358.066892789,26127662.17544902
stealthy_poison,39,15551561.576071285,10054500.152120398,59779208.52280975
stealthy_poison,40,34672766.98726903,22659210.89665754,137661115.48812845
