trajectory_id,style,crashed,return,mean_speed,lane_changes,min_ttc,min_front_gap,crash_step,last_action,recent_lane_change,front_gap_before_crash,ttc_before_crash,collision_type,relative_x,relative_y,relative_vx
cautious_000,cautious,False,23.188253402878917,22.362671463935673,1,3.85040305533925,14.856126691316376,,,False,,,,,,
cautious_001,cautious,False,23.004010832663404,22.50501354082925,0,6.5512974726048006,22.390425361612188,,,False,,,,,,
cautious_002,cautious,False,22.588253402878912,22.362671463935673,1,3.2184776234562045,12.6601877870213,,,False,,,,,,
cautious_003,cautious,False,22.6006252807354,22.50501354082925,2,1.7214017974630962,7.725905358680279,,,False,,,,,,
cautious_004,cautious,True,10.290137168730036,22.392009588491753,0,1.6231709513908448,5.0,14.0,SLOWER,False,7.352904224270105,1.6231709513908448,side_or_unclear,1.9296720027923584,4.0,0.9467669725418091
cautious_005,cautious,True,11.558593404748954,22.40295329238036,0,0.9568071726613285,4.999999999999773,15.0,FASTER,False,8.674960920485887,4.062858024868174,front_collision,5.0,5.3290705182007514e-14,-5.22571325302124
cautious_006,cautious,False,22.004010832663397,22.50501354082925,0,1.2249470350141811,5.157145320179211,,,False,,,,,,
cautious_007,cautious,False,23.588253402878912,22.362671463935673,1,1.7211551562172218,5.50518988485328,,,False,,,,,,
cautious_008,cautious,False,22.004010832663397,22.50501354082925,0,7.0328890436891305,28.510903614467225,,,False,,,,,,
cautious_009,cautious,False,22.98835051297145,22.36279285064681,1,1.96088207495066,6.083054512185754,,,False,,,,,,
cautious_010,cautious,False,24.004010832663397,22.50501354082925,0,9.509188969010777,33.41089860701413,,,False,,,,,,
cautious_011,cautious,True,13.691926738082289,22.41373625989366,0,1.7668511600278092,5.0,17.0,FASTER,False,6.469677698873284,inf,front_collision,5.0,0.0,-2.829893112182617
cautious_012,cautious,False,22.755302037534445,22.529338109888617,1,1.7594172423184637,7.897653890942024,,,False,,,,,,
cautious_013,cautious,True,8.023470502048824,22.113442271765624,0,0.9735506566650942,4.999999999999886,11.0,FASTER,False,8.941425052436784,2.778130001111923,front_collision,5.0,0.0,-5.135839462280273
cautious_014,cautious,True,20.821586733864383,22.118205387483524,1,1.9113601372260791,5.000000000000227,28.0,FASTER,False,6.166420263989153,7.400763284202872,front_collision,5.0,1.5010215292932116e-13,-2.3861989974975586
cautious_015,cautious,False,23.004010832663404,22.50501354082925,0,4.821279105785929,19.27386433942482,,,False,,,,,,
cautious_016,cautious,False,22.004010832663397,22.50501354082925,0,20.517348953117487,53.98386234825864,,,False,,,,,,
cautious_017,cautious,True,13.04942362395731,22.325188105466616,0,1.095347900039789,5.0,17.0,FASTER,False,8.201562464134895,4.286898690316826,front_collision,5.0,0.0,-4.564759731292725
cautious_018,cautious,False,22.004010832663397,22.50501354082925,0,4.52802727816729,22.31026819150395,,,False,,,,,,
cautious_019,cautious,False,24.004010832663397,22.50501354082925,0,3.9279456899977707,15.577602564875974,,,False,,,,,,
normal_000,normal,True,5.890136016770316,22.153973617715195,0,1.8794634761726214,5.0,7.0,FASTER,False,5.229330907767348,44.27865008344236,front_collision,5.0,0.0,-1.0218114852905273
normal_001,normal,True,16.786751928460113,23.58927306294851,2,1.6853207291244592,5.000000004344656,21.0,FASTER,False,6.841277114610989,8.231287256047183,front_collision,5.0,1.0865374377999615e-08,-2.96679425239563
normal_002,normal,True,7.59700210419528,23.843603103364323,3,3.6431953795751624,18.97115880260037,9.0,LANE_LEFT,True,54.289624750170105,11.987601820013158,lane_change_or_side,-2.0549373626708984,-2.0990138053894043,-2.88832426071167
normal_003,normal,False,24.52795544613294,24.666529392864625,3,2.765671575114825,14.070388625611827,,,False,,,,,,
normal_004,normal,True,17.80250846684266,24.00136218686629,1,1.3948071312012076,5.000000000453497,22.0,SLOWER,False,6.21503308511376,1.3948071312012076,side_or_unclear,-1.5586737394332886,4.0,8.817898750305176
normal_005,normal,True,6.570560371831151,22.862640239293015,0,0.9171642730507635,5.0,8.0,SLOWER,False,6.330996427026662,0.9171642730507635,front_collision,5.0,0.0,-2.427105665206909
normal_006,normal,True,7.07056037183115,23.02022504780225,0,1.0150633955256714,5.0,9.0,SLOWER,False,5.963341229873436,1.0150633955256714,front_collision,5.0,0.0,-1.985100507736206
normal_007,normal,False,24.590120958421235,24.828632624685515,4,3.120378773357759,15.462591334483136,,,False,,,,,,
normal_008,normal,True,6.133333333333334,24.03123290047327,0,0.9502744607560051,5.0,7.0,SLOWER,False,11.404384243535446,1.0402537678449473,front_collision,5.0,0.0,-5.2616376876831055
normal_009,normal,True,12.668793742966544,22.922530447098666,1,1.4222598313536536,5.000000000000227,16.0,SLOWER,False,5.468944207765844,1.4222598313536536,front_collision,5.0,-8.357758929378178e-13,-1.2007993459701538
normal_010,normal,False,24.756783819685197,24.6959797746065,0,6.24231299218835,18.12076897026668,,,False,,,,,,
normal_011,normal,False,24.335730450991132,24.50486713509871,1,2.6066123980560243,10.631294044179526,,,False,,,,,,
normal_012,normal,False,25.490137151660594,24.362671439575745,0,2.1300622651767824,6.219717040920386,,,False,,,,,,
normal_013,normal,False,25.604010732776736,24.505013415970918,0,2.0253203710400784,7.072823254025025,,,False,,,,,,
normal_014,normal,True,10.804010732776732,22.978867817502444,0,1.3580148499465117,5.000000000000227,14.0,SLOWER,False,5.2613879371417624,1.3580148499465117,front_collision,5.0,0.0,-1.2152129411697388
normal_015,normal,False,24.955304872956965,24.362671439575745,1,2.2673853199549643,6.740226443086954,,,False,,,,,,
normal_016,normal,False,24.39700446676119,24.500000000018193,2,2.348057567463223,8.963158004059096,,,False,,,,,,
normal_017,normal,False,25.402508466843493,24.671675931933912,1,2.760387424657128,10.240296360711454,,,False,,,,,,
normal_018,normal,True,8.737227038497819,24.558728540333473,0,0.741137260929048,5.0,10.0,FASTER,False,10.217952963424352,3.0141644465522086,front_collision,5.0,0.0,-6.7463884353637695
normal_019,normal,False,25.131834387964144,25.0,1,4.18230846189468,18.61529628244989,,,False,,,,,,
aggressive_000,aggressive,True,9.561970430473696,27.920431835730597,0,0.9973654025976068,4.999999999999886,10.0,SLOWER,False,6.988983415182815,0.9973654025976068,front_collision,5.0,0.0,-2.1484932899475098
aggressive_001,aggressive,True,12.68864923300517,28.01910955081099,0,1.5159354464683144,5.0,14.0,FASTER,False,6.3618552488494515,3.653201640579528,front_collision,5.0,0.0,-2.5752487182617188
aggressive_002,aggressive,True,4.593831959049105,25.469736547841507,0,1.071777693586502,5.000006109554704,5.0,SLOWER,False,7.190826915458047,1.071777693586502,front_collision,5.000006198883057,8.251110557466745e-06,-2.0315797328948975
aggressive_003,aggressive,True,4.655319904635541,24.355835951695273,1,1.4608202816607654,2.2561289616912745,5.0,LANE_LEFT,True,6.583375942723876,3.093392555908994,lane_change_or_side,2.256129026412964,-2.52970290184021,0.6732646226882935
aggressive_004,aggressive,True,20.818810376676453,26.56895907161591,3,1.5535542539430607,5.000000001374815,23.0,FASTER,False,6.808401878896234,5.370923708586032,front_collision,5.0,-2.3488815337202595e-09,-2.99267578125
aggressive_005,aggressive,True,23.32551318829839,27.792385626515912,3,1.0319097840724498,6.77009563766353,25.0,LANE_RIGHT,True,6.77009563766353,1.0319097840724498,lane_change_or_side,2.2976624965667725,-3.8537163734436035,-2.8757858276367188
aggressive_006,aggressive,True,7.503756581940479,25.568483962463148,1,1.0006838022843183,5.542445695760819,8.0,LANE_LEFT,True,5.542445695760819,1.0006838022843183,lane_change_or_side,3.2515547275543213,2.8845908641815186,-2.209821939468384
aggressive_007,aggressive,False,28.765800441078685,29.298981689198992,5,1.5025355453990026,9.006734344394886,,,False,,,,,,
aggressive_008,aggressive,True,13.852580053085127,28.06027763132251,1,1.4431483024138263,5.00000350363689,15.0,FASTER,False,7.402942391992951,4.423750010662028,front_collision,5.000003337860107,-9.378956747241318e-06,-3.4646499156951904
aggressive_009,aggressive,True,11.495303763240415,28.10459672768255,0,0.8646846003711799,5.000000000005684,12.0,SLOWER,False,6.167127262374606,0.8646846003711799,front_collision,5.0,2.2298607404991344e-11,-2.3529648780822754
