trajectory_id,style,episode_index,env_seed,policy_seed,steps,return,crashed,mean_speed,max_speed,lane_changes,action_entropy_bits,min_front_gap,median_front_gap,min_ttc,min_euclidean_vehicle_distance,actions
cautious_000,cautious,0,20260915,20360915,30,23.188253402878917,False,22.362671463935673,24.29157277053749,1,1.1766796675107107,14.856126691316376,51.44378502455433,3.85040305533925,4.055405455722674,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 2, 3, 4, 3, 4, 3, 4, 3, 4]"
cautious_001,cautious,1,20260916,20360916,30,23.004010832663404,False,22.50501354082925,24.29157277053749,0,1.0,22.390425361612188,44.743238922240494,6.5512974726048006,4.000176835504998,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_002,cautious,2,20260917,20360917,30,22.588253402878912,False,22.362671463935673,24.29157277053749,1,1.1766796675107107,12.6601877870213,32.622665021712464,3.2184776234562045,4.014617357982752,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 0, 3, 4, 3, 4, 3, 4, 3, 4]"
cautious_003,cautious,3,20260918,20360918,30,22.6006252807354,False,22.50501354082925,24.875295989357046,2,1.2866926683547546,7.725905358680279,27.88235040037904,1.7214017974630962,4.006514081226109,"[4, 3, 4, 3, 4, 0, 3, 4, 3, 4, 3, 4, 3, 0, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_004,cautious,4,20260919,20360919,15,10.290137168730036,True,22.392009588491753,24.29157277053749,0,0.9967916319816366,5.0,23.514507715262937,1.6231709513908448,4.441129838073736,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4]"
cautious_005,cautious,5,20260920,20360920,16,11.558593404748954,True,22.40295329238036,24.29157277053749,0,1.0,4.999999999999773,33.1959625793248,0.9568071726613285,4.07533250469261,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_006,cautious,6,20260921,20360921,30,22.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,5.157145320179211,43.3498430101601,1.2249470350141811,4.001195702380528,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_007,cautious,7,20260922,20360922,30,23.588253402878912,False,22.362671463935673,24.29157277053749,1,1.1766796675107107,5.50518988485328,34.0422759733211,1.7211551562172218,3.995619186843084,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 0, 3, 4, 3, 4, 3, 4, 3, 4]"
cautious_008,cautious,8,20260923,20360923,30,22.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,28.510903614467225,59.321179565034754,7.0328890436891305,4.022502962459062,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_009,cautious,9,20260924,20360924,30,22.98835051297145,False,22.36279285064681,24.29157277053749,1,1.1766796675107107,6.083054512185754,41.387506301571534,1.96088207495066,4.00106948234776,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 2, 3, 4]"
cautious_010,cautious,10,20260925,20360925,30,24.004010832663397,False,22.50501354082925,24.29157277053749,0,1.0,33.41089860701413,60.3885677156548,9.509188969010777,4.13282706525815,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_011,cautious,11,20260926,20360926,18,13.691926738082289,True,22.41373625989366,24.29157277053749,0,1.0,5.0,15.515528309805177,1.7668511600278092,4.009808845434663,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
cautious_012,cautious,12,20260927,20360927,30,22.755302037534445,False,22.529338109888617,24.875296429368582,1,1.1766796675107107,7.897653890942024,42.486503160397575,1.7594172423184637,3.996441646283462,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 0, 4, 3, 4, 3, 4, 3, 4]"
cautious_013,cautious,13,20260928,20360928,12,8.023470502048824,True,22.113442271765624,24.29157277053749,0,1.0,4.999999999999886,33.18452468789178,0.9735506566650942,4.999999999999886,"[4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3]"
