reward_delta,detector,tp,fp,tn,fn,precision,recall,false_positive_rate,accuracy,mean_poison_score,mean_clean_score,min_poison_score,max_clean_score
1.0,global,5,9,45,1,0.35714285714285715,0.8333333333333334,0.16666666666666666,0.8333333333333334,3.5651502507678714,2.3059159801234492,2.915664519559106,3.9522299809192014
1.0,style_aware,6,11,43,0,0.35294117647058826,1.0,0.2037037037037037,0.8166666666666667,6.1018612464834625,2.3084313630647353,3.9454980703375635,5.070863969274763
0.75,global,5,9,45,1,0.35714285714285715,0.8333333333333334,0.16666666666666666,0.8333333333333334,3.075046747119842,2.3059159801234492,2.32395200964512,3.9522299809192014
0.75,style_aware,6,11,43,0,0.35294117647058826,1.0,0.2037037037037037,0.8166666666666667,4.737204602165217,2.3084313630647353,3.059473763619854,5.070863969274763
0.5,global,2,9,45,4,0.18181818181818182,0.3333333333333333,0.16666666666666666,0.7833333333333333,2.6531829132521167,2.3059159801234492,1.6949179042664104,3.9522299809192014
0.5,style_aware,5,11,43,1,0.3125,0.8333333333333334,0.2037037037037037,0.8,3.434483636678639,2.3084313630647353,2.299335286148797,5.070863969274763
0.25,global,1,9,45,5,0.1,0.16666666666666666,0.16666666666666666,0.7666666666666667,2.3281093339578356,2.3059159801234492,1.1232147586120458,3.9522299809192014
0.25,style_aware,2,11,43,4,0.15384615384615385,0.3333333333333333,0.2037037037037037,0.75,2.303466928717885,2.3084313630647353,1.5277202110777712,5.070863969274763
0.1,global,1,9,45,5,0.1,0.16666666666666666,0.16666666666666666,0.7666666666666667,2.202140533676147,2.3059159801234492,0.8573378894651942,3.9522299809192014
0.1,style_aware,2,11,43,4,0.15384615384615385,0.3333333333333333,0.2037037037037037,0.75,1.8845527906374329,2.3084313630647353,1.2567390833752674,5.070863969274763
0.05,global,1,9,45,5,0.1,0.16666666666666666,0.16666666666666666,0.7666666666666667,2.1763584201746133,2.3059159801234492,0.795518836301747,3.9522299809192014
0.05,style_aware,1,11,43,5,0.08333333333333333,0.16666666666666666,0.2037037037037037,0.7333333333333333,1.826234164229439,2.3084313630647353,1.1567962585777969,5.070863969274763
