split_seed,probe_ids,random_edits,targeted_edits,targeted_poisoned_trajectories,targeted_states,random_changed_actions,random_disagreement_rate,random_multi_action_rate,targeted_changed_actions,targeted_disagreement_rate,targeted_multi_action_rate,paired_difference,coverage_rate,clean_iterations,random_iterations,targeted_iterations,clean_final_change,random_final_change,targeted_final_change
20260916,aggressive_003|aggressive_006|aggressive_013|cautious_002|cautious_011|cautious_015|normal_006|normal_009|normal_012,180,20,13,16,0,0.0,0.0,359,0.2649446494464945,0.30710008554319934,0.2649446494464945,0.9970566593083149,1376,1376,1395,9.953430435416522e-07,9.953430435416522e-07,9.964989260424773e-07
20260917,aggressive_006|aggressive_008|aggressive_016|cautious_001|cautious_007|cautious_012|normal_007|normal_012|normal_013,180,20,14,17,0,0.0,0.0,348,0.25796886582653816,0.28315703824247357,0.25796886582653816,0.9926416482707874,1376,1376,1395,9.946342061084579e-07,9.946342061084579e-07,9.964989260424773e-07
20260918,aggressive_010|aggressive_017|aggressive_018|cautious_013|cautious_017|cautious_018|normal_002|normal_016|normal_018,180,20,15,16,0,0.0,0.0,293,0.23763179237631793,0.3020618556701031,0.23763179237631793,0.9927536231884058,1375,1375,1395,9.97708667682673e-07,9.97708667682673e-07,9.960390627838933e-07
20260919,aggressive_000|aggressive_003|aggressive_010|cautious_003|cautious_016|cautious_018|normal_013|normal_014|normal_016,180,20,12,15,0,0.0,0.0,174,0.14157851912123678,0.20963855421686747,0.14157851912123678,0.9895330112721417,1375,1375,1395,9.977086534718183e-07,9.977086818935277e-07,9.960390627838933e-07
20260920,aggressive_005|aggressive_015|aggressive_016|cautious_000|cautious_008|cautious_019|normal_007|normal_008|normal_018,180,20,15,16,2,0.0016260162601626016,0.002183406113537118,266,0.216260162601626,0.2903930131004367,0.2146341463414634,0.984,1375,1375,1395,9.977086534718183e-07,9.977086534718183e-07,9.960390627838933e-07
20260921,aggressive_001|aggressive_006|aggressive_018|cautious_000|cautious_011|cautious_015|normal_004|normal_006|normal_008,180,20,14,18,0,0.0,0.0,216,0.18075313807531382,0.20396600566572237,0.18075313807531382,0.9660468876313663,1376,1376,1395,9.946355703505105e-07,9.946355703505105e-07,9.964989260424773e-07
20260922,aggressive_005|aggressive_013|aggressive_016|cautious_012|cautious_018|cautious_019|normal_006|normal_010|normal_013,180,20,15,16,25,0.01846381093057607,0.022914757103574702,314,0.23190546528803546,0.28780934922089824,0.21344165435745938,0.9963208241353937,1375,1375,1395,9.977086534718183e-07,9.97708667682673e-07,9.960390627838933e-07
20260923,aggressive_005|aggressive_018|aggressive_019|cautious_000|cautious_018|cautious_019|normal_004|normal_015|normal_018,180,20,15,17,0,0.0,0.0,324,0.23893805309734514,0.33820459290187893,0.23893805309734514,0.9977924944812362,1375,1375,1395,9.97708667682673e-07,9.97708667682673e-07,9.960390627838933e-07
20260924,aggressive_004|aggressive_011|aggressive_019|cautious_001|cautious_005|cautious_019|normal_010|normal_012|normal_013,180,20,14,16,0,0.0,0.0,437,0.3222713864306785,0.4091760299625468,0.3222713864306785,0.9977924944812362,1375,1375,1395,9.977086534718183e-07,9.97708667682673e-07,9.938198246572938e-07
20260925,aggressive_001|aggressive_003|aggressive_005|cautious_002|cautious_012|cautious_013|normal_008|normal_009|normal_019,180,20,14,17,11,0.009181969949916527,0.010166358595194085,256,0.21368948247078465,0.2365988909426987,0.20450751252086813,0.9684721099434115,1375,1375,1395,9.977086534718183e-07,9.97708667682673e-07,9.960390627838933e-07
